,nsMACD_SIGNAL,trend_macd_signal,nsMACD_OSC,trend_macd_diff,nsRSI,momentum_rsi,nsSTO_K,momentum_stoch,nsSTO_D,nsBOL_UP,volatility_bbh,nsBOL_DOWN,volatility_bbl,nsBOL_WIDTH,volatility_wid
29,,,,,52.8448154612,56.928778123308,100.0,100.0,85.10864,8310780.21134,8310780.211331986,8267719.78866,8267719.788668014,43060.42268,43060.42266397178
30,,,,,49.6592287204,52.80677265235279,83.87097,83.87096774193549,88.7413,8311321.67876,8311321.678767831,8267478.32124,8267478.321232169,43843.35752,43843.35753566213
31,,,,,52.1446075871,55.57786380033877,80.55556,80.55555555555556,88.14218,8313230.67332,8313230.673329086,8269269.32668,8269269.326670914,43961.34664,43961.346658172086
32,,,,,48.8949932343,51.50660461843405,66.66667,66.66666666666667,77.03107,8312914.28956,8312914.289566958,8273185.71044,8273185.710433042,39728.57912,39728.579133916646
33,132305.24288,-3555.5133190793117,529375.41595,2329.6704408382197,46.4035647675,48.44896646983789,55.55556,55.55555555555556,67.5926,8312698.57718,8312698.57718091,8275801.42282,8275801.42281909,36897.15436,36897.15436181985
34,132454.02066,-2934.964628397125,529950.42735,2482.1947627287464,52.2937205403,54.931744033116665,78.125,78.125,66.78241,8313017.6379,8313017.637908946,8278982.3621,8278982.362091054,34035.2758,34035.27581789158
35,132443.64601,-2332.311340854214,529886.69231,2410.6131501716463,51.614972232,54.11740937992289,72.41379,72.41379310344827,68.69812,8313504.65772,8313504.657711358,8281295.34228,8281295.342288642,32209.31544,32209.31542271562
36,132433.04345,-1783.1052331082074,529821.40456,2196.8244309840275,50.903445823,53.267010777683424,68.96552,68.96551724137932,73.1681,8313021.11106,8313021.111067704,8284578.88894,8284578.888932296,28442.22212,28442.22213540785
37,132166.96153,-1563.3500876168175,528734.7265,879.0205819655596,40.6454801658,41.366450654746096,3.7037,3.7037037037037037,48.361,8313193.14908,8313193.149077564,8284006.85092,8284006.850922436,29186.29816,29186.298155127093
38,132235.92237,-1494.2274956950855,528988.39031,276.4903676869285,43.5290780946,44.507940591044246,18.51852,18.51851851851852,30.39591,8313190.13274,8313190.132742763,8283809.86726,8283809.867257237,29380.26548,29380.26548552513
39,132193.23789,-1567.5995917510938,528795.47294,-293.4883842240322,41.885499289,42.661759909846666,7.40741,7.407407407407407,9.87654,8313280.1708,8313280.170796075,8283419.8292,8283419.829203925,29860.3416,29860.34159214981
